ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250119,,27/10/2025,15/12/2025,,7600.0000,0.0000,0.0000,7600.0000,,M24 Group K - Cat.2,3.0000,950.0000,,2850.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250119,,27/10/2025,15/12/2025,,7600.0000,0.0000,0.0000,7600.0000,,M67 Group L - Cat.2,3.0000,950.0000,,2850.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250119,,27/10/2025,15/12/2025,,7600.0000,0.0000,0.0000,7600.0000,,M77 1I v 3CDFGH - Cat.2,2.0000,950.0000,,1900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250119,,27/10/2025,15/12/2025,,7600.0000,0.0000,0.0000,7600.0000,,Payment terms:03-Nov-2025 - 3800 USD15-Dec-2025 - 3800 USD,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250118,,23/10/2025,15/01/2026,,27800.0000,0.0000,0.0000,27800.0000,,M104 Final - Cat.3/4,4.0000,6950.0000,,27800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250118,,23/10/2025,15/01/2026,,27800.0000,0.0000,0.0000,27800.0000,,50% — USD 13900 on 03/Nov/202550% — USD 13900 on 15/Jan/2026,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Tower Travel,administracion2@towertravel.com.ar,Lavalle 462 Piso 4,,,,Buenos Aires,,1047AAJ,Argentina,Lavalle 462 Piso 4,,,,Buenos Aires,,1047AAJ,Argentina,INV-250117,,23/10/2025,30/10/2025,,6000.0000,0.0000,0.0000,6000.0000,,Quarter Final Argentinaupgrade level C/D to category 2,3.0000,500.0000,,1500.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Tower Travel,administracion2@towertravel.com.ar,Lavalle 462 Piso 4,,,,Buenos Aires,,1047AAJ,Argentina,Lavalle 462 Piso 4,,,,Buenos Aires,,1047AAJ,Argentina,INV-250117,,23/10/2025,30/10/2025,,6000.0000,0.0000,0.0000,6000.0000,,Quarter Final Argentinaupgrade level C/D to category 1,5.0000,900.0000,,4500.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Jesús Artemio Rodríguez Medina,chucho_artemio@hotmail.com,,,,,,,,,"Severo Castillo #329,",Col. Gobernadores,C.P. 38035,,Celaya,Guanajuato,,Mexico,INV-250116,,23/10/2025,30/10/2025,,14250.0000,0.0000,0.0000,14250.0000,,M75 1F v 2C - Cat.1,3.0000,1250.0000,,3750.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Jesús Artemio Rodríguez Medina,chucho_artemio@hotmail.com,,,,,,,,,"Severo Castillo #329,",Col. Gobernadores,C.P. 38035,,Celaya,Guanajuato,,Mexico,INV-250116,,23/10/2025,30/10/2025,,14250.0000,0.0000,0.0000,14250.0000,,M79 1A v 3CEFHI - Cat.2,3.0000,2250.0000,,6750.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
